,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,scale_pos_weight
0,0.33614395718810497,11.064561960091638,0.9325592785212141,3.5509764204444565,186.9138021758691,9.967937918747772
1,0.6081406681687259,15.435117162653171,0.9998628070765052,7.469021331388062,187.00929299621083,2.0096485493860934
2,0.22732611301540173,10.618936603748423,0.8186068309593713,1.0346155439419558,112.62001636507385,9.046416123122764
3,0.6058645464374324,14.72983311957401,0.5695214154869823,1.01606951760776,119.51810211872541,13.711173570419746
4,0.9985003467264284,39.13972374754299,0.9872050049592825,6.265970772108034,189.14371052762476,8.422709660960768
5,0.6645505504113397,54.097934414822156,0.9964118371930192,8.92537760237168,158.18313157332722,5.304169272968422
6,0.3984062391959654,12.886008429126946,0.2226991959929353,7.014770510944542,147.58049992598905,7.63615116977031
7,0.8121431195204988,14.531210988742783,0.015139355521910982,8.666316490582638,182.87936336113077,9.006219163154794
8,0.8736302676293575,10.919894631865645,0.061510225240814405,8.639819532483866,143.34065016184312,11.369735577022707
9,0.2637970982919025,11.240451375729467,0.4006278434810974,6.432521141412574,186.17642795488538,6.1580093909671145
