,mh.ada,yhat,mh.ada.1,yhat.1,mh.ada.2,yhat.2,mh.ada.3,yhat.3,mh.ada.4,yhat.4,mh.ada.5,yhat.5,mh.ada.6,yhat.6,mh.ada.7,yhat.7,mh.ada.8,yhat.8,mh.ada.9,yhat.9,mh.ada.10,yhat.10,mh.ada.11,yhat.11,mh.ada.12,yhat.12,mh.ada.13,yhat.13,mh.ada.14,yhat.14,mh.ada.15,yhat.15,mh.ada.16,yhat.16,mh.ada.17,yhat.17,mh.ada.18,yhat.18,mh.ada.19,yhat.19,mh.ada.20,yhat.20,mh.ada.21,yhat.21,mh.ada.22,yhat.22,mh.ada.23,yhat.23,mh.ada.24,yhat.24,mh.ada.25,yhat.25,mh.ada.26,yhat.26,mh.ada.27,yhat.27,mh.ada.28,yhat.28,mh.ada.29,yhat.29,mh.ada.30,yhat.30,mh.ada.31,yhat.31,mh.ada.32,yhat.32,mh.ada.33,yhat.33,mh.ada.34,yhat.34,mh.ada.35,yhat.35,mh.ada.36,yhat.36,mh.ada.37,yhat.37,mh.ada.38,yhat.38,mh.ada.39,yhat.39,mh.ada.40,yhat.40,mh.ada.41,yhat.41,mh.ada.42,yhat.42,mh.ada.43,yhat.43,mh.ada.44,yhat.44,mh.ada.45,yhat.45,mh.ada.46,yhat.46,mh.ada.47,yhat.47,mh.ada.48,yhat.48,mh.ada.49,yhat.49,mh.ada.50,yhat.50,mh.ada.51,yhat.51,mh.ada.52,yhat.52,mh.ada.53,yhat.53,mh.ada.54,yhat.54,mh.ada.55,yhat.55,mh.ada.56,yhat.56,mh.ada.57,yhat.57,mh.ada.58,yhat.58,mh.ada.59,yhat.59,mh.ada.60,yhat.60,mh.ada.61,yhat.61,mh.ada.62,yhat.62,mh.ada.63,yhat.63,mh.ada.64,yhat.64,mh.ada.65,yhat.65,mh.ada.66,yhat.66,mh.ada.67,yhat.67,mh.ada.68,yhat.68,mh.ada.69,yhat.69,mh.ada.70,yhat.70,mh.ada.71,yhat.71,mh.ada.72,yhat.72,mh.ada.73,yhat.73,mh.ada.74,yhat.74,mh.ada.75,yhat.75,mh.ada.76,yhat.76,mh.ada.77,yhat.77,mh.ada.78,yhat.78,mh.ada.79,yhat.79,mh.ada.80,yhat.80,mh.ada.81,yhat.81,mh.ada.82,yhat.82,mh.ada.83,yhat.83,mh.ada.84,yhat.84,mh.ada.85,yhat.85,mh.ada.86,yhat.86,mh.ada.87,yhat.87,mh.ada.88,yhat.88,mh.ada.89,yhat.89,mh.ada.90,yhat.90,mh.ada.91,yhat.91,mh.ada.92,yhat.92,mh.ada.93,yhat.93,mh.ada.94,yhat.94,mh.ada.95,yhat.95,mh.ada.96,yhat.96,mh.ada.97,yhat.97,mh.ada.98,yhat.98,mh.ada.99,yhat.99
1,0,-1.352026132,0,-1.108496331,0,-1.450539648,0,-1.122866609,0,-1.101542891,0,-1.014983838,0,-1.111527522,0,-1.345184998,0,-1.139002074,0,-1.281733029,0,-0.525232605,0,-0.570801847,0,-0.513967955,0,-0.464016786,0,-0.541142857,0,-0.513963748,0,-0.522013401,0,-0.530680589,0,-0.526477566,0,-0.557221204,0,-0.858056134,0,-0.582683973,0,-0.670124093,0,-0.787725299,0,-0.796517948,0,-0.570135659,0,-0.637186812,0,-0.737861818,0,-0.734060832,0,-0.716862727,0,-0.52289557,0,-0.516905474,0,-0.223965407,0,-0.406054033,0,-0.350355831,0,-0.383259711,0,-0.511048702,0,-0.486716065,0,-0.39372561,0,-0.423706251,0,-0.506545356,0,-0.555858616,0,-0.773451282,0,-0.598421312,0,-0.513801971,0,-0.521567968,0,-0.615553217,0,-0.496319424,0,-0.575946523,0,-0.566164527,0,-0.683947424,0,-0.606798739,0,-0.687405008,0,-0.714231039,0,-0.739303001,0,-0.600694941,0,-0.561529265,0,-0.59720424,0,-0.580428443,0,-0.569045227,0,-0.254200977,0,-0.302434301,0,-0.356610315,0,-0.176321002,0,-0.180081809,0,-0.240884477,0,-0.282005216,0,-0.401362448,0,-0.201438856,0,-0.250455972,0,-0.913755104,0,-0.827825116,0,-0.879565491,0,-0.8891704,0,-0.805879051,0,-0.846084364,0,-0.882765964,0,-0.793199768,0,-0.853851108,0,-0.903840077,0,-0.642185873,0,-0.653037655,0,-0.693019678,0,-0.617935799,0,-0.693305964,0,-0.571398248,0,-0.511060016,0,-0.603013068,0,-0.564903703,0,-0.71423887,0,-0.496201612,0,-0.673225908,0,-0.760063179,0,-0.585032828,0,-0.900635528,0,-0.817682969,0,-0.706160301,0,-0.715287423,0,-0.666435508,0,-0.793867954
3,1,-0.891232556,1,-0.833858557,1,-0.50701984,1,-0.779631615,1,-0.342306745,1,-0.749173162,1,-0.674090149,1,-0.881053044,1,-0.724096453,1,-0.799813633,1,-0.262493199,1,-0.253161525,1,-0.193929631,1,-0.306980173,1,-0.272467099,1,-0.357526949,1,-0.210533722,1,-0.084988274,1,-0.053907787,1,-0.178146485,1,-0.409486853,1,-0.297973945,1,-0.005668519,1,-0.494210459,1,-0.399255545,1,-0.526475293,1,-0.227055571,1,-0.20085566,1,-0.440812223,1,-0.268683091,1,0.098435506,1,0.088551025,1,-0.223965407,1,-0.159689954,1,-0.117798705,1,0.103629183,1,-0.004472628,1,-0.222867488,1,-0.06015991,1,-0.175245676,1,-0.19048921,1,-0.330347002,1,-0.454030527,1,-0.233890031,1,0.023443148,1,-0.157249365,1,-0.375092995,1,-0.177105087,1,-0.116142107,1,-0.320594624,1,-0.153328695,1,-0.439097059,1,-0.383195363,1,-0.141271551,1,-0.170926255,1,-0.475216144,1,-0.224722608,1,-0.081723143,1,-0.296198005,1,-0.178528192,1,-0.254200977,1,0.026622529,1,0.023064607,1,-0.176321002,1,0.033494965,1,0.14164469,1,-0.10727059,1,-0.025163793,1,-0.201438856,1,0.139834089,1,-0.578519668,1,-0.488387329,1,-0.473320415,1,-0.724141697,1,-0.363504585,1,-0.220897982,1,-0.513221792,1,-0.633735507,1,-0.254150327,1,-0.476849626,1,-0.050182397,1,-0.22641036,1,-0.103684914,1,-0.122890185,1,-0.102116718,1,-0.31775323,1,-0.026252688,1,-0.109729884,1,-0.171772449,1,0.103400124,1,-0.153216636,1,-0.555234682,1,-0.018477307,1,-0.160862239,1,-0.333776325,1,-0.473340885,1,-0.251593801,1,-0.234141627,1,-0.129968261,1,-0.435970298
