,domestic,yhat,domestic.1,yhat.1,domestic.2,yhat.2,domestic.3,yhat.3,domestic.4,yhat.4,domestic.5,yhat.5,domestic.6,yhat.6,domestic.7,yhat.7,domestic.8,yhat.8,domestic.9,yhat.9,domestic.10,yhat.10,domestic.11,yhat.11,domestic.12,yhat.12,domestic.13,yhat.13,domestic.14,yhat.14,domestic.15,yhat.15,domestic.16,yhat.16,domestic.17,yhat.17,domestic.18,yhat.18,domestic.19,yhat.19,domestic.20,yhat.20,domestic.21,yhat.21,domestic.22,yhat.22,domestic.23,yhat.23,domestic.24,yhat.24,domestic.25,yhat.25,domestic.26,yhat.26,domestic.27,yhat.27,domestic.28,yhat.28,domestic.29,yhat.29,domestic.30,yhat.30,domestic.31,yhat.31,domestic.32,yhat.32,domestic.33,yhat.33,domestic.34,yhat.34,domestic.35,yhat.35,domestic.36,yhat.36,domestic.37,yhat.37,domestic.38,yhat.38,domestic.39,yhat.39,domestic.40,yhat.40,domestic.41,yhat.41,domestic.42,yhat.42,domestic.43,yhat.43,domestic.44,yhat.44,domestic.45,yhat.45,domestic.46,yhat.46,domestic.47,yhat.47,domestic.48,yhat.48,domestic.49,yhat.49,domestic.50,yhat.50,domestic.51,yhat.51,domestic.52,yhat.52,domestic.53,yhat.53,domestic.54,yhat.54,domestic.55,yhat.55,domestic.56,yhat.56,domestic.57,yhat.57,domestic.58,yhat.58,domestic.59,yhat.59,domestic.60,yhat.60,domestic.61,yhat.61,domestic.62,yhat.62,domestic.63,yhat.63,domestic.64,yhat.64,domestic.65,yhat.65,domestic.66,yhat.66,domestic.67,yhat.67,domestic.68,yhat.68,domestic.69,yhat.69,domestic.70,yhat.70,domestic.71,yhat.71,domestic.72,yhat.72,domestic.73,yhat.73,domestic.74,yhat.74,domestic.75,yhat.75,domestic.76,yhat.76,domestic.77,yhat.77,domestic.78,yhat.78,domestic.79,yhat.79,domestic.80,yhat.80,domestic.81,yhat.81,domestic.82,yhat.82,domestic.83,yhat.83,domestic.84,yhat.84,domestic.85,yhat.85,domestic.86,yhat.86,domestic.87,yhat.87,domestic.88,yhat.88,domestic.89,yhat.89,domestic.90,yhat.90,domestic.91,yhat.91,domestic.92,yhat.92,domestic.93,yhat.93,domestic.94,yhat.94,domestic.95,yhat.95,domestic.96,yhat.96,domestic.97,yhat.97,domestic.98,yhat.98,domestic.99,yhat.99
1,0,-0.933063413,0,-0.893467492,0,-1.052931565,0,-1.013289611,0,-1.020263561,0,-1.002420742,0,-0.931783547,0,-0.91973473,0,-0.900364703,0,-1.004420751,0,-1.247124083,0,-1.307074108,0,-1.475027557,0,-1.310361077,0,-1.303896983,0,-1.085120935,0,-1.433793756,0,-1.210247377,0,-1.535080755,0,-1.210263677,0,-0.744928833,0,-0.907057387,0,-0.760597555,0,-1.035507427,0,-0.796397371,0,-0.923170297,0,-0.683629747,0,-0.696933425,0,-0.770869773,0,-0.97844254,0,-1.314129963,0,-1.088616358,0,-1.110015946,0,-1.16000912,0,-1.469725766,0,-1.213776564,0,-1.156497093,0,-1.182853997,0,-0.998957275,0,-1.196332628,0,-0.814064266,0,-0.861145037,0,-1.027769838,0,-0.892468497,0,-0.918826124,0,-1.04572337,0,-0.702672164,0,-0.884405375,0,-0.947899833,0,-0.797908167,0,-1.020337498,0,-0.923734101,0,-0.947977573,0,-1.070425261,0,-1.085463629,0,-0.978292519,0,-0.96361911,0,-0.981955212,0,-0.941338554,0,-0.947007319,0,-0.313930013,0,-0.309948184,0,-0.28451101,0,-0.313577013,0,-0.401152587,0,-0.294201264,0,-0.418730562,0,-0.358130872,0,-0.274855457,0,-0.354363082,0,-1.159759458,0,-1.274627638,0,-1.213008563,0,-1.128794837,0,-1.000782602,0,-1.136058069,0,-1.111209676,0,-1.164956139,0,-1.317381237,0,-1.285294891,0,-1.465421495,0,-1.286932788,0,-0.995799905,0,-1.274514693,0,-1.097588059,0,-1.085190012,0,-1.071999112,0,-1.334709029,0,-1.443601574,0,-0.699877846,0,-1.091480644,0,-1.058289784,0,-1.131219299,0,-1.070373029,0,-1.081779744,0,-0.920397033,0,-1.337123552,0,-1.190411135,0,-1.091498429,0,-1.290252274
3,1,-0.933063413,1,-0.893467492,1,-1.052931565,1,-1.013289611,1,-1.020263561,1,-1.002420742,1,-0.931783547,1,-0.91973473,1,-0.900364703,1,-1.004420751,1,-1.247124083,1,-1.307074108,1,-1.475027557,1,-0.960006997,1,-1.303896983,1,-1.085120935,1,-1.433793756,1,-1.210247377,1,-1.535080755,1,-1.210263677,1,-0.654630326,1,-0.907057387,1,-0.760597555,1,-1.035507427,1,-0.760713316,1,-0.83298557,1,-0.683629747,1,-0.696933425,1,-0.770869773,1,-0.97844254,1,-1.314129963,1,-1.088616358,1,-1.110015946,1,-1.16000912,1,-1.252999602,1,-1.213776564,1,-1.156497093,1,-1.182853997,1,-0.998957275,1,-1.196332628,1,-0.814064266,1,0.045883944,1,-1.027769838,1,-0.892468497,1,-0.918826124,1,-1.04572337,1,-0.702672164,1,-0.884405375,1,-0.947899833,1,-0.797908167,1,-1.020337498,1,-0.923734101,1,-0.947977573,1,-0.78398172,1,-1.060048061,1,-0.978292519,1,-0.96361911,1,-0.981955212,1,-0.941338554,1,-0.788455452,1,-0.313930013,1,-0.309948184,1,-0.28451101,1,-0.313577013,1,-0.401152587,1,-0.294201264,1,-0.418730562,1,-0.358130872,1,-0.274855457,1,-0.354363082,1,-0.879162387,1,-1.274627638,1,-1.213008563,1,-1.128794837,1,-1.000782602,1,-1.136058069,1,-1.111209676,1,-1.164956139,1,-1.317381237,1,-1.285294891,1,-1.045311229,1,-1.286932788,1,-0.995799905,1,-1.005253763,1,-0.83747267,1,-0.411454662,1,-1.071999112,1,-1.334709029,1,-1.234717095,1,-0.699877846,1,-1.091480644,1,-1.058289784,1,-0.616369557,1,-1.070373029,1,-1.081779744,1,-0.440022858,1,-1.337123552,1,-1.190411135,1,-0.529242097,1,-1.290252274
