,scientificName,decimalLatitude,decimalLongitude
116,Nyssomyia antunesi,-13.67,-57.88
117,Nyssomyia antunesi,-13.66,-59.79
118,Nyssomyia antunesi,-13.55,-52.27
119,Nyssomyia antunesi,-13.53,-59.08
120,Nyssomyia antunesi,-13.24,-53.08
121,Nyssomyia antunesi,-13.05,-55.91
122,Nyssomyia antunesi,-13.01,-57.06
123,Nyssomyia antunesi,-13.01,-55.26
124,Nyssomyia antunesi,-12.55,-55.71
125,Nyssomyia antunesi,-12.53,-56.5
126,Nyssomyia antunesi,-12.39,-54.92
127,Nyssomyia antunesi,-12.35,-52.11
128,Nyssomyia antunesi,-12.23,-56.64
129,Nyssomyia antunesi,-12.18,-55.19
130,Nyssomyia antunesi,-12.15,-57.98
131,Nyssomyia antunesi,-11.61,-50.67
132,Nyssomyia antunesi,-11.55,-57.52
133,Nyssomyia antunesi,-11.52,-57.41
134,Nyssomyia antunesi,-11.52,-54.36
135,Nyssomyia antunesi,-11.49,-54.88
136,Nyssomyia antunesi,-11.41,-57.35
137,Nyssomyia antunesi,-11.38,-58.74
138,Nyssomyia antunesi,-11.11,-54.6
139,Nyssomyia antunesi,-11.03,-51.83
140,Nyssomyia antunesi,-10.87,-51.63
141,Nyssomyia antunesi,-10.81,-55.45
142,Nyssomyia antunesi,-10.55,-55.95
143,Nyssomyia antunesi,-10.51,-55.23
144,Nyssomyia antunesi,-10.3,-55.4
145,Nyssomyia antunesi,-10.22,-54.98
146,Nyssomyia antunesi,-10.05,-54.9
147,Nyssomyia antunesi,-10.0371,-67.7853
148,Nyssomyia antunesi,-9.96,-55.83
149,Nyssomyia antunesi,-9.95,-57.86
150,Nyssomyia antunesi,-9.88,-56.09
151,Nyssomyia antunesi,-9.8756,-56.0861
152,Nyssomyia antunesi,-9.85,-58.41
153,Nyssomyia antunesi,-9.78,-54.9
154,Nyssomyia antunesi,-9.67,-56.48
155,Nyssomyia antunesi,-9.54,-57.45
156,Nyssomyia antunesi,-9.4,-59.03
157,Nyssomyia antunesi,-9.17,-60.63
158,Nyssomyia antunesi,-7.2586,-64.7981
159,Nyssomyia antunesi,-6.9656,-66.3167
160,Nyssomyia antunesi,-6.8925,-66.2011
161,Nyssomyia antunesi,-3.7419,-47.4947
162,Nyssomyia antunesi,-2.9958,-47.3528
163,Nyssomyia antunesi,-2.635,-44.1481
