,scientificName,decimalLatitude,decimalLongitude
104,Lutzomyia (Lutzomyia) longipalpis,16.556111,-92.805555
105,Lutzomyia (Lutzomyia) longipalpis,-16.0706,-57.6789
106,Lutzomyia (Lutzomyia) longipalpis,-16.402,-57.499
107,Lutzomyia (Lutzomyia) longipalpis,-20.1389,-44.8839
108,Lutzomyia (Lutzomyia) longipalpis,-19.225,-40.8514
109,Lutzomyia (Lutzomyia) longipalpis,-19.228889,-40.758611
110,Lutzomyia (Lutzomyia) longipalpis,-14.847022,-44.220713
111,Lutzomyia (Lutzomyia) longipalpis,-14.851066,-44.233156
112,Lutzomyia (Lutzomyia) longipalpis,-14.84441,-44.222166
113,Lutzomyia (Lutzomyia) longipalpis,-14.863325,-44.231039
114,Lutzomyia (Lutzomyia) longipalpis,-17.5981,-44.7308
115,Lutzomyia (Lutzomyia) longipalpis,-14.845655,-44.216133
116,Lutzomyia (Tricholateralis) cruciata,18.5345,-88.3353
117,Lutzomyia (Tricholateralis) cruciata,19.3786,-88.1892
118,Lutzomyia (Tricholateralis) cruciata,13.294,-87.656
119,Lutzomyia (Tricholateralis) cruciata,16.335,-95.476389
120,Lutzomyia (Tricholateralis) cruciata,16.303611,-95.534722
121,Lutzomyia (Tricholateralis) cruciata,18.445,-95.060278
122,Lutzomyia (Tricholateralis) cruciata,19.574722,-96.577778
123,Lutzomyia (Tricholateralis) cruciata,18.567222,-88.256944
124,Lutzomyia (Tricholateralis) cruciata,18.582056,-88.305528
125,Lutzomyia (Tricholateralis) diabolica,18.235278,-97.127222
126,Lutzomyia (Tricholateralis) diabolica,27.878611,-101.446944
127,Lutzomyia (Tricholateralis) diabolica,25.716111,-99.625
128,Lutzomyia (Tricholateralis) diabolica,18.24,-99.661111
129,Lutzomyia (Tricholateralis) diabolica,19.043056,-101.162222
130,Lutzomyia (Tricholateralis) diabolica,18.626389,-100.896944
131,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
132,Lutzomyia (Tricholateralis) gomezi,4.986045,-72.603545
133,Lutzomyia (Tricholateralis) gomezi,8.825083,-75.51825
134,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
135,Lutzomyia (Tricholateralis) gomezi,5.3808,-75.7908
136,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
137,Lutzomyia (Tricholateralis) gomezi,5.38,-75.79
138,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
139,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
140,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
141,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
142,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
143,Lutzomyia (Tricholateralis) gomezi,9.164,-79.863
144,Lutzomyia (Tricholateralis) gomezi,9.161,-79.861
145,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
146,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
147,Lutzomyia (Tricholateralis) gomezi,-10.8853,-61.9517
148,Lutzomyia (Tricholateralis) gomezi,-1.45583,-48.5044
149,Lutzomyia (Tricholateralis) gomezi,-0.366667,-51.0664
150,Lutzomyia (Tricholateralis) gomezi,-8.76194,-63.9039
151,Migonemyia (Migonemyia) migonei,-20.427222,-45.75
152,Migonemyia (Migonemyia) migonei,-20.419444,-41.386944
153,Migonemyia (Migonemyia) migonei,-26.3028,-58.815
154,Migonemyia (Migonemyia) migonei,-19.8019,-40.8556
155,Migonemyia (Migonemyia) migonei,-19.737,-40.969
156,Migonemyia (Migonemyia) migonei,-19.228889,-40.758611
157,Migonemyia (Migonemyia) migonei,-19.225,-40.8514
158,Migonemyia (Migonemyia) migonei,-19.228,-40.758
159,Migonemyia (Migonemyia) migonei,-20.0406,-40.7461
160,Migonemyia (Migonemyia) migonei,-17.8867,-44.5775
161,Migonemyia (Migonemyia) migonei,-14.851066,-44.233156
162,Migonemyia (Migonemyia) migonei,-20.3706,-45.6614
163,Migonemyia (Migonemyia) migonei,-14.863325,-44.231039
164,Migonemyia (Migonemyia) migonei,-14.846135,-44.223893
165,Migonemyia (Migonemyia) migonei,-14.845041,-44.218608
166,Migonemyia (Migonemyia) migonei,-14.849817,-44.221783
167,Migonemyia (Migonemyia) migonei,-14.846669,-44.219267
168,Migonemyia (Migonemyia) migonei,-21.8878,-42.7044
169,Migonemyia (Migonemyia) migonei,-18.2494,-43.6003
170,Migonemyia (Migonemyia) migonei,-20.5231,-41.9044
171,Migonemyia (Migonemyia) migonei,-20.4333,-41.8683
172,Migonemyia (Migonemyia) migonei,-20.1006,-40.5297
173,Migonemyia (Migonemyia) migonei,-20.6964,-44.8272
174,Migonemyia (Migonemyia) migonei,-18.8625,-41.1228
175,Migonemyia (Migonemyia) migonei,-20.3633,-40.6592
176,Migonemyia (Migonemyia) migonei,-9.40722,-36.6275
177,Pintomyia (Pifanomyia) monticola,-20.035278,-43.494167
178,Pintomyia (Pifanomyia) monticola,-20.419444,-41.386944
179,Pintomyia (Pifanomyia) monticola,-19.988,-40.547
180,Pintomyia (Pifanomyia) monticola,-19.908,-40.657
181,Pintomyia (Pifanomyia) monticola,-18.852,-41.066
182,Pintomyia (Pifanomyia) monticola,-18.976,-40.042
183,Pintomyia (Pifanomyia) monticola,-19.9356,-40.6003
184,Pintomyia (Pifanomyia) monticola,-19.858,-40.533
185,Pintomyia (Pifanomyia) monticola,-19.0561,-41.0167
186,Pintomyia (Pifanomyia) monticola,-20.3633,-40.6592
187,Pintomyia (Pifanomyia) monticola,-19.4128,-40.5417
188,Pintomyia (Pifanomyia) monticola,-19.318,-40.517
189,Pintomyia (Pifanomyia) monticola,-20.4,-40.753
190,Pintomyia (Pifanomyia) monticola,-18.976,-41.012
191,Pintomyia (Pifanomyia) monticola,-19.7575,-40.3856
192,Pintomyia (Pifanomyia) monticola,-20.350278,-40.724167
193,Pintomyia (Pifanomyia) monticola,-20.635,-40.7497
194,Pintomyia (Pifanomyia) monticola,-20.4333,-41.8683
195,Pintomyia (Pintomyia) fischeri,-20.419444,-41.386944
196,Pintomyia (Pintomyia) fischeri,-18.852,-41.066
197,Pintomyia (Pintomyia) fischeri,-19.9356,-40.6003
198,Pintomyia (Pintomyia) fischeri,-19.858,-40.533
199,Pintomyia (Pintomyia) fischeri,-19.908,-40.657
200,Pintomyia (Pintomyia) fischeri,-19.4128,-40.5417
201,Pintomyia (Pintomyia) fischeri,-20.1006,-40.5297
202,Pintomyia (Pintomyia) fischeri,-20.3633,-40.6592
203,Pintomyia (Pintomyia) fischeri,-19.0561,-41.0167
204,Pintomyia (Pintomyia) fischeri,-19.8019,-40.8556
205,Pintomyia (Pintomyia) fischeri,-20.4,-40.753
206,Pintomyia (Pintomyia) fischeri,-20.058,-40.498
207,Pintomyia (Pintomyia) fischeri,-18.972,-41.029
208,Pintomyia (Pintomyia) fischeri,-19.318,-40.517
209,Pintomyia (Pintomyia) fischeri,-19.737,-40.969
210,Pintomyia (Pintomyia) fischeri,-20.138,-40.516
211,Pintomyia (Pintomyia) fischeri,-19.228889,-40.758611
212,Pintomyia (Pintomyia) fischeri,-19.228,-40.758
213,Pintomyia (Pintomyia) fischeri,-19.7575,-40.3856
214,Pintomyia (Pintomyia) fischeri,-19.225,-40.8514
215,Pintomyia (Pintomyia) fischeri,-20.1389,-44.8839
216,Pintomyia (Pintomyia) fischeri,-20.2639,-40.42
217,Pintomyia (Pintomyia) fischeri,-20.3397,-41.1347
218,Pintomyia (Pintomyia) fischeri,-24.58,-48.59
219,Pintomyia (Pintomyia) fischeri,-20.4333,-41.8683
220,Pintomyia (Pintomyia) fischeri,-20.5231,-41.9044
221,Pintomyia (Pintomyia) fischeri,-20.7928,-43.9303
222,Pintomyia (Pintomyia) fischeri,-20.0875,-43.7894
223,Pintomyia (Pintomyia) fischeri,-23.54,-46.63
224,Pintomyia (Pintomyia) fischeri,-29.2233,-49.81
225,Pintomyia (Pintomyia) fischeri,-27.3711,-53.7583
226,Pintomyia (Pintomyia) fischeri,-19.7897,-42.1392
227,Pintomyia (Pintomyia) fischeri,-20.3903,-40.4961
228,Pintomyia (Pintomyia) fischeri,-3.89083,-38.6856
229,Bichromomyia flaviscutellata,3.87,-51.85
230,Bichromomyia flaviscutellata,4.33,-52.35
231,Bichromomyia flaviscutellata,4.89,-52.29
232,Bichromomyia flaviscutellata,4.91,-52.3
233,Bichromomyia flaviscutellata,4.89,-52.31
234,Bichromomyia flaviscutellata,3.89,-52.57
235,Bichromomyia flaviscutellata,-1.73717,-51.4546
236,Bichromomyia flaviscutellata,0.778056,-51.9436
237,Bichromomyia flaviscutellata,-7.25861,-64.7981
238,Bichromomyia flaviscutellata,-6.8925,-66.201111
239,Bichromomyia flaviscutellata,-6.9575,-66.3075
240,Bichromomyia flaviscutellata,-19.858,-40.533
241,Bichromomyia flaviscutellata,-19.9356,-40.6003
242,Bichromomyia flaviscutellata,4.088,-52.681
243,Bichromomyia flaviscutellata,-20.2639,-40.42
244,Bichromomyia flaviscutellata,-17.8867,-44.5775
245,Bichromomyia flaviscutellata,-12.5453,-55.7114
246,Bichromomyia flaviscutellata,-3.74194,-47.4947
247,Bichromomyia flaviscutellata,-1.74639,-47.0594
248,Bichromomyia flaviscutellata,-2.99583,-47.3528
249,Bichromomyia flaviscutellata,-5.12056,-60.3797
250,Bichromomyia flaviscutellata,-0.366667,-51.0664
251,Bichromomyia flaviscutellata,-10.7081,-48.4172
252,Bichromomyia flaviscutellata,-14.74,-57.0539
253,Bichromomyia flaviscutellata,-10.8853,-61.9517
254,Bichromomyia flaviscutellata,-3.10194,-60.025
255,Bichromomyia flaviscutellata,-10.7828,-65.3394
256,Bichromomyia flaviscutellata,-13.2681,-39.6628
257,Bichromomyia flaviscutellata,-3.35417,-64.7114
258,Bichromomyia flaviscutellata,-20.3903,-40.4961
259,Bichromomyia flaviscutellata,2.81972,-60.6733
260,Bichromomyia flaviscutellata,-1.82833,-44.8683
261,Bichromomyia flaviscutellata,-2.53222,-44.1075
262,Bichromomyia flaviscutellata,-22.505,-43.1786
263,Bichromomyia flaviscutellata,-17.2222,-46.8747
264,Bichromomyia flaviscutellata,-15.7797,-47.9297
265,Bichromomyia flaviscutellata,-22.7592,-43.4511
266,Bichromomyia flaviscutellata,-15.0725,-57.1811
267,Bichromomyia flaviscutellata,1.81611,-61.1281
268,Bichromomyia flaviscutellata,-1.45583,-48.5044
269,Bichromomyia flaviscutellata,-10.7633,-48.1089
270,Nyssomyia anduzei,-0.366667,-51.0664
271,Nyssomyia anduzei,-3.10194,-60.025
272,Nyssomyia anduzei,-10.7828,-65.3394
273,Nyssomyia anduzei,-1.29389,-47.9264
274,Nyssomyia anduzei,-19.3911,-40.0722
275,Nyssomyia anduzei,1.81611,-61.1281
276,Nyssomyia anduzei,-1.77111,-47.4381
277,Nyssomyia antunesi,5.016667,-72.76
278,Nyssomyia antunesi,4.986045,-72.603545
279,Nyssomyia antunesi,-6.9575,-66.3075
280,Nyssomyia antunesi,-6.965556,-66.316667
281,Nyssomyia antunesi,-6.8925,-66.201111
282,Nyssomyia antunesi,-7.25861,-64.7981
283,Nyssomyia antunesi,-18.9181,-54.8442
284,Nyssomyia antunesi,-3.74194,-47.4947
285,Nyssomyia antunesi,-4.285,-47.505
286,Nyssomyia antunesi,-2.99583,-47.3528
287,Nyssomyia antunesi,-1.74639,-47.0594
288,Nyssomyia antunesi,-10.7081,-48.4172
289,Nyssomyia antunesi,-10.7633,-48.1089
290,Nyssomyia antunesi,-14.74,-57.0539
