,scientificName,decimalLatitude,decimalLongitude
18212,Lutzomyia (Helcocyrtomyia) peruensis,-13.2582943,-72.2655022
18213,Lutzomyia (Helcocyrtomyia) peruensis,-13.3057105,-72.1211887
18214,Lutzomyia (Helcocyrtomyia) peruensis,-11.9424541,-76.5077805
18224,Pintomyia (Pifanomyia) verrucarum,-9.493056,-77.993611
18225,Pintomyia (Pifanomyia) verrucarum,-10.258056,-77.486944
18226,Pintomyia (Pifanomyia) verrucarum,-8.741944,-77.888333
18227,Pintomyia (Pifanomyia) verrucarum,-8.983056,-77.821667
18228,Pintomyia (Pifanomyia) verrucarum,-9.176944,-77.746667
18229,Pintomyia (Pifanomyia) verrucarum,-9.324444,-77.599167
18230,Pintomyia (Pifanomyia) verrucarum,-9.519444,-77.537222
18231,Pintomyia (Pifanomyia) verrucarum,-8.554167,-77.630833
18232,Pintomyia (Pifanomyia) verrucarum,-8.831667,-77.438611
18233,Pintomyia (Pifanomyia) verrucarum,-8.933056,-77.419722
18234,Pintomyia (Pifanomyia) verrucarum,-9.117778,-76.990278
18235,Pintomyia (Pifanomyia) verrucarum,-9.5675,-77.178056
18236,Pintomyia (Pifanomyia) verrucarum,-5.949167,-77.956944
18237,Pintomyia (Pifanomyia) verrucarum,-5.351389,-79.446667
18238,Pintomyia (Pifanomyia) verrucarum,-5.428611,-79.118333
18239,Pintomyia (Pifanomyia) verrucarum,-11.765,-76.594722
18240,Pintomyia (Pifanomyia) verrucarum,-13.690833,-75.238056
18241,Pintomyia (Pifanomyia) verrucarum,-6.5632522,-77.8630056
18242,Pintomyia (Pifanomyia) verrucarum,-6.4863269,-77.8147887
18243,Pintomyia (Pifanomyia) verrucarum,-6.3738177,-77.9001099
18244,Pintomyia (Pifanomyia) verrucarum,-6.3903469,-77.9465309
18245,Pintomyia (Pifanomyia) verrucarum,-6.0291612,-77.9396472
18246,Pintomyia (Pifanomyia) verrucarum,-5.2392984,-79.4489192
18247,Pintomyia (Pifanomyia) verrucarum,-11.806036,-76.7960811
18248,Pintomyia (Pifanomyia) verrucarum,-11.902837,-76.6630269
18249,Pintomyia (Pifanomyia) verrucarum,-11.9424541,-76.5077805
